cities, urban, city, towns, planning, world, plan, suburbs, buildings, inhabitants, town, medieval, land, metropolitan, live, transportation, industrial, streets, development, century
history, historical, historians, historian, historiography, writing, thucydides, record, past, change, era, tradition, narrative, study, events, studies, herodotus, oral, repr, ed
german, british, germany, war, france, french, britain, american, germans, north, world, allied, troops, treaty, western, italy, force, government, united, allies
marine, forms, invertebrates, invertebrate, phylum, arthropods, mollusks, include, phyla, parasitic, body, terrestrial, organisms, animals, fossil, freshwater, million, systems, worms, specialized
military, revolution, army, government, led, britain, land, power, foreign, economic, national, independence, trade, revolutionary, own, continued, wars, colonies, south, history
period, periods, late, style, permian, produced, pueblo, phase, followed, reached, occurred, marked, close, beethoven, silurian, ordovician, rich, beginning, colonial, triassic
army, german, battle, british, war, armies, gen, russian, troops, allied, forces, military, june, command, commander, july, turkish, germans, offensive, october
form, forms, usually, formed, example, sonata, wood, paints, original, single, phosphorus, forming, coatings, addition, derived, resins, hepatitis, ferns, directly, detective
dances, dance, dancers, folk, dancing, circle, steps, forms, hands, countries, worn, tribal, male, costume, special, contra, movements, step, country, female
president, power, united, office, constitution, senate, house, powers, vote, law, government, majority, section, supreme, court, representatives, public, executive, votes, national
africa, african, africans, ghana, rule, independence, nigeria, coast, gold, rhodesia, congo, southern, region, white, peoples, slaves, northern, angola, trade, kenya
century, control, valley, chinese, central, cultural, asia, european, india, established, southeast, burma, history, religious, influence, china, rule, dynasty, developed, lower
air, forces, strategic, major, force, ground, separate, tactical, command, support, aerial, balloon, missiles, corps, systems, aviation, army, maintain, staff, transportation
art, artists, arts, artistic, objects, style, tradition, abstract, figures, produced, cave, nouveau, traditions, paintings, styles, beauty, aesthetic, images, forms, painted
dance, ballet, theater, movement, expression, developed, forms, social, time, movements, ritual, companies, dancers, dances, dancing, ethnic, own, music, development, technique
ocean, oceans, atlantic, pacific, basins, basin, seafloor, seas, ft, continental, current, oceanic, bottom, currents, deep, sea, depths, sediments, trench, water
indian, indians, tribes, tribal, nebraska, hindu, artistic, region, buddhist, male, plains, southwest, languages, sioux, territory, northwest, western, mogul, led, montana
theory, einstein, relativity, gravitational, theories, gravitation, principle, gravity, equations, special, according, quantum, set, albert, field, effect, frame, curved, discovered, proposed
south, apartheid, cape, argentina, white, homelands, chile, principal, sq, peru, leading, transvaal, country, total, town, bolivia, climate, soils, world, largest
napoleon, bonaparte, paris, french, france, june, military, defeated, july, emperor, coalition, married, austria, republic, louis, son, treaty, oct, russian, army
universe, matter, density, space, curvature, galaxies, time, radiation, geometry, cosmological, model, billion, creation, age, observed, power, theory, cosmology, bang, expansion
century, centuries, late, developed, medieval, introduced, half, beginning, established, especially, ages, europe, produced, roman, spread, flourished, earliest, history, continued, christian
light, optical, interference, optics, rays, lens, lenses, telescope, polarized, beam, newton, reflection, wave, reflected, ray, refraction, mirror, angle, wavelengths, mirrors
light, laser, lasers, wavelength, emission, beam, absorption, stimulated, medium, polarized, eye, degree, lighting, ether, flash, source, produced, polarization, atoms, velocity
recording, tape, sound, digital, disc, record, magnetic, stereo, signal, audio, playback, recorded, tapes, records, signals, recordings, recorders, cassette, film, developed
fish, fishing, fisheries, salmon, waters, coast, nets, catches, catch, fishery, cod, atlantic, sharks, tons, million, marine, species, coral, coastal, pacific
power, electric, electricity, transmission, hydroelectric, systems, plants, generating, dams, lines, utilities, generation, sources, wind, cable, fuel, underground, units, generators, costs
